Location,GIS inlet count,total capacity (MGD),HEC-HMS max flow (cfs)
loc-MM1,20,37.8,99
in-MM1,0,0,99
loc-MM7,54,102.1,99
loc-z2,32,60.5,99
in-z2,47,88.8,99
loc-z1,63,119.1,99
in-z1,10,18.9,99
loc-aa4,15,28.4,99
loc-MM8,6,11.3,99
in-MM8,0,0,99
loc-MSF1,0,0,99
in-MSF1,4,7.6,99
loc-AA3MM,9,17,99
in-aa3M,15,28.4,99
in-aa5,21,39.7,99
loc-aa5,0,0,99
loc-MM2a,18,34,99
in-MM2a,0,0,99
loc-MM3,3,5.7,99
loc-MM6,0,0,99
loc-MM2b,17,32.1,99
in-MM6,15,28.4,99
loc-MSF2,4,7.6,99
loc-MM4,5,9.5,99
in-MM5,9,17,99
loc-MM5,3,5.7,99
in-MSF2,0,0,99
loc-aa2,0,0,99
in-aa2,10,18.9,99
